fips_county,fast_food,grocery
16085,11.0,5.0
16087,7.0,3.0
17001,37.0,12.0
17003,3.0,
17005,7.0,
17007,30.0,6.0
17009,4.0,
17011,11.0,4.0
17013,,3.0
17015,6.0,3.0
17017,9.0,4.0
17019,186.0,36.0
17021,16.0,8.0
17023,15.0,
17025,10.0,
17027,21.0,7.0
17029,46.0,7.0
17031,4676.0,1322.0
17033,13.0,6.0
17035,4.0,
17037,86.0,13.0
17039,12.0,
17041,17.0,5.0
17043,873.0,170.0
17045,13.0,3.0
17047,3.0,
17049,35.0,7.0
17051,14.0,3.0
17053,8.0,
17055,27.0,4.0
17057,16.0,7.0
17061,8.0,4.0
17063,49.0,4.0
17065,3.0,
17067,9.0,4.0
17071,3.0,
17073,24.0,8.0
17075,14.0,8.0
17077,41.0,13.0
17079,6.0,
17081,34.0,5.0
17083,13.0,4.0
17085,12.0,6.0
17087,7.0,
17089,350.0,73.0
17091,82.0,17.0
17093,81.0,12.0
17095,45.0,10.0
17097,589.0,125.0
17099,75.0,19.0
17101,7.0,
17103,20.0,5.0
17105,16.0,10.0
17107,13.0,
17109,24.0,7.0
17111,229.0,42.0
17113,145.0,30.0
17115,73.0,16.0
17117,19.0,8.0
17119,206.0,47.0
17121,26.0,4.0
17123,7.0,
17125,8.0,4.0
17127,10.0,
17129,5.0,
17131,7.0,
17133,20.0,4.0
17135,22.0,5.0
17137,25.0,3.0
17139,3.0,
17141,36.0,6.0
17143,137.0,45.0
17145,12.0,3.0
17147,9.0,3.0
17149,6.0,4.0
17157,24.0,7.0
17159,13.0,4.0
17161,126.0,26.0
17163,200.0,44.0
17165,19.0,6.0
17167,199.0,35.0
17169,3.0,
17173,10.0,4.0
17177,21.0,9.0
17179,108.0,18.0
17181,11.0,4.0
17183,52.0,12.0
17185,9.0,
17187,6.0,6.0
17189,8.0,6.0
17191,7.0,3.0
17193,5.0,4.0
17195,34.0,9.0
17197,522.0,92.0
17199,52.0,11.0
17201,231.0,54.0
17203,18.0,5.0
18001,18.0,4.0
18003,280.0,51.0
18005,64.0,10.0
18009,7.0,4.0
18011,47.0,10.0
18013,4.0,3.0
18015,10.0,6.0
18017,28.0,6.0
18019,99.0,10.0
18021,14.0,4.0
18023,23.0,7.0
18027,14.0,6.0
18029,28.0,4.0
18031,19.0,5.0
18033,29.0,5.0
18035,89.0,13.0
18037,35.0,10.0
18039,149.0,39.0
18041,19.0,3.0
18043,71.0,7.0
18045,11.0,6.0
18047,15.0,4.0
18049,11.0,5.0
18051,23.0,6.0
18053,50.0,7.0
18055,13.0,5.0
18057,261.0,30.0
18059,38.0,4.0
18061,16.0,3.0
18063,129.0,11.0
18065,28.0,5.0
18067,85.0,11.0
18069,30.0,3.0
18071,39.0,3.0
18073,26.0,11.0
18075,9.0,
18077,19.0,5.0
18079,14.0,
18081,126.0,10.0
18083,27.0,
18085,55.0,12.0
18087,9.0,5.0
18089,453.0,91.0
18091,72.0,16.0
18093,21.0,6.0
18095,75.0,16.0
18097,822.0,165.0
18099,38.0,9.0
18101,7.0,
18103,19.0,8.0
18105,118.0,20.0
18107,30.0,10.0
18109,36.0,7.0
18111,7.0,
18113,29.0,9.0
18117,14.0,
18119,9.0,4.0
18121,5.0,
18123,11.0,
18125,3.0,
18127,116.0,18.0
18129,8.0,3.0
18131,6.0,
18133,21.0,4.0
18135,9.0,4.0
18137,17.0,8.0
18139,10.0,3.0
18141,204.0,49.0
18143,19.0,4.0
18145,28.0,5.0
18147,15.0,4.0
18149,7.0,4.0
18151,20.0,5.0
18153,12.0,3.0
18155,,3.0
18157,143.0,23.0
18159,9.0,
18161,4.0,
18163,169.0,37.0
18165,7.0,3.0
18167,95.0,14.0
18169,23.0,5.0
18173,31.0,5.0
18175,12.0,4.0
18177,45.0,7.0
18179,15.0,
18181,18.0,3.0
18183,22.0,4.0
19001,4.0,
19005,3.0,6.0
19007,8.0,4.0
19011,4.0,3.0
19013,99.0,28.0
19015,8.0,4.0
19017,9.0,4.0
19019,9.0,5.0
19021,9.0,4.0
19023,,5.0
19027,14.0,6.0
19029,8.0,5.0
19031,7.0,3.0
19033,42.0,10.0
19035,9.0,3.0
19037,5.0,
19039,6.0,
19041,19.0,3.0
19043,11.0,6.0
19045,32.0,7.0
19047,10.0,5.0
19049,68.0,16.0
19051,,3.0
19053,4.0,
19055,5.0,
19057,37.0,6.0
19059,19.0,3.0
19061,70.0,15.0
19063,5.0,3.0
19065,10.0,5.0
19067,6.0,3.0
19069,5.0,3.0
19071,5.0,3.0
19073,4.0,
19075,3.0,6.0
19077,5.0,3.0
19079,3.0,4.0
19081,6.0,3.0
19083,7.0,8.0
19085,10.0,4.0
19087,10.0,
19089,4.0,
19091,5.0,3.0
19093,3.0,
19095,6.0,6.0
19097,10.0,
19099,20.0,6.0
19101,9.0,
19103,120.0,29.0
19105,7.0,4.0
19107,5.0,3.0
19109,7.0,6.0
19111,20.0,6.0
19113,180.0,28.0
19115,,3.0
19117,4.0,
19119,3.0,5.0
19121,3.0,3.0
19123,14.0,4.0
19125,21.0,6.0
19127,18.0,12.0
19129,4.0,3.0
19131,3.0,4.0
19133,5.0,
19135,3.0,
19137,6.0,
19139,38.0,7.0
19141,8.0,7.0
19145,4.0,3.0
19147,5.0,3.0
19149,18.0,4.0
19153,389.0,91.0
19155,68.0,11.0
19157,9.0,5.0
19159,5.0,
19161,4.0,3.0
19163,151.0,24.0
19165,7.0,3.0
