County,meanPovertyRate,meanFamilyIncome,percentLowFoodAccess
Dauphin County,14.34923076923077,69862.66153846154,9.230769230769232
Davidson County,17.072538860103627,71008.88481675393,18.65284974093264
Davie County,13.114285714285716,67416.57142857143,0.0
Daviess County,15.665625,63329.25,9.375
Davis County,6.814285714285715,86913.78571428571,3.571428571428571
Davison County,12.275,67852.0,25.0
Dawes County,14.3,63249.0,0.0
Dawson County,13.117647058823529,66487.17647058824,17.647058823529413
Day County,19.099999999999998,60440.0,33.33333333333333
De Baca County,16.8,60909.0,0.0
De Soto Parish,27.37142857142857,48743.57142857143,28.57142857142857
De Witt County,11.2,69945.8,0.0
DeKalb County,17.4,77654.85492227979,23.711340206185564
DeSoto County,14.30952380952381,64803.45238095238,11.904761904761903
DeWitt County,15.5,69291.0,0.0
Deaf Smith County,17.725,59334.25,25.0
Dearborn County,10.64,75882.4,20.0
Decatur County,19.37272727272727,56634.90909090909,22.727272727272727
Deer Lodge County,19.166666666666668,55949.0,0.0
Defiance County,11.3,67759.22222222222,11.11111111111111
Del Norte County,25.442857142857143,51539.857142857145,28.57142857142857
Delaware County,12.867234042553193,88358.0,8.51063829787234
Delta County,16.085,57578.35,15.0
Denali Borough,16.9,102500.0,0.0
Dent County,22.875,48382.5,50.0
Denton County,9.107299270072993,101127.30656934307,5.839416058394161
Denver County,13.995804195804196,91623.9645390071,11.888111888111888
Des Moines County,15.19090909090909,64477.36363636364,9.090909090909092
Deschutes County,10.816666666666668,75717.79166666667,4.166666666666666
Desha County,30.76,39538.2,60.0
Deuel County,9.266666666666666,67059.0,33.33333333333333
Dewey County,21.639999999999997,56578.4,40.0
Dickens County,17.2,57292.0,0.0
Dickenson County,24.0,41756.25,0.0
Dickey County,4.8,83659.0,0.0
Dickinson County,11.427777777777777,67823.66666666667,11.11111111111111
Dickson County,14.080000000000002,62134.7,0.0
Dillingham Census Area,16.8,61640.0,50.0
Dillon County,33.46666666666666,40508.333333333336,16.666666666666664
Dimmit County,32.400000000000006,34324.0,100.0
Dinwiddie County,16.616666666666667,65826.0,33.33333333333333
District of Columbia,17.501675977653633,119155.76878612717,6.70391061452514
Divide County,13.7,89375.0,0.0
Dixie County,23.866666666666664,44779.0,33.33333333333333
Dixon County,12.25,69661.5,0.0
Doddridge County,15.75,60944.5,0.0
Dodge County,12.03,67034.75,2.5
Dolores County,13.6,50792.0,100.0
Doniphan County,13.6,67135.33333333333,0.0
Donley County,14.399999999999999,54375.0,0.0
Dooly County,25.3,44035.333333333336,66.66666666666666
Door County,8.088888888888889,72828.0,0.0
Dorchester County,13.005882352941176,73733.61764705883,20.588235294117645
Dougherty County,31.0,45526.2962962963,55.55555555555556
Douglas County,12.444477611940297,85063.37537537537,11.641791044776118
Do̱a Ana County,28.156097560975613,46306.60975609756,34.146341463414636
Drew County,21.6,57089.4,20.0
DuPage County,6.6875,113486.61111111111,0.0
Dubois County,10.914285714285715,72049.71428571429,0.0
Dubuque County,12.696153846153846,72571.42307692308,15.384615384615385
Duchesne County,13.0,68937.33333333333,33.33333333333333
Dukes County,7.925,93260.0,0.0
Dundy County,10.3,59271.0,100.0
Dunklin County,26.53,46132.6,30.0
Dunn County,12.18888888888889,72069.88888888889,0.0
Duplin County,22.92727272727273,48832.818181818184,18.181818181818183
Durham County,18.43166666666667,75152.45614035087,13.333333333333334
Dutchess County,9.841025641025642,96971.42105263157,3.8461538461538463
Duval County,17.162499999999998,65385.14772727273,22.15909090909091
Dyer County,17.2375,54449.125,25.0
Eagle County,7.685714285714285,97315.21428571429,0.0
Early County,27.52,42020.0,0.0
East Baton Rouge Parish,21.076923076923077,68491.2808988764,28.57142857142857
East Carroll Parish,43.43333333333334,35498.333333333336,100.0
East Feliciana Parish,17.6,58291.8,0.0
Eastland County,19.54,45288.4,60.0
Eaton County,10.582142857142857,74814.64285714286,10.714285714285714
Eau Claire County,15.194999999999999,75234.35,15.0
Echols County,25.1,48699.5,0.0
Ector County,11.87142857142857,70589.10714285714,7.142857142857142
Eddy County,16.1,66752.46153846153,23.076923076923077
Edgar County,12.0,62650.6,40.0
Edgecombe County,23.192857142857143,47279.0,42.857142857142854
